Name,Country,Gender,Age,Weight (lbs),Height (in),Marathon,Half Marathon,10K,5K
Tiernan Patrick,AUS,M,21,183,72,,,,13:20.88
Farrell Tom,GBR,M,25,139,70,,,,13:42.17
Kaya Ali,TUR,M,22,119,69,,,,
Robinson Brett,AUS,M,25,132,69,,,28:24.49,13:18.96
Ahmed Mohammed,CAN,M,25,123,72,,,,
Balew Birhanu,BRN,M,20,,,,,,13:09.26
Leitao Romario,STP,M,19,123,69,,,,15:53.32
Al-Amri Tariq Ahmed,KSA,M,25,108,65,,,,13:25.00
Tewelde Hiskel,ERI,M,29,,,,,28:06,13:17.24
Chelimo Paul Kipkemoi,USA,M,25,126,71,,,,13:03.90
Osman Abrar,ERI,M,22,128,66,,,28:05,13:04.12
Gebremeskel Dejen,ETH,M,26,128,71,,,,
Mechaal Adel,ESP,M,25,157,72,,,,13:15.40
Edris Muktar,ETH,M,22,132,67,,,28:11,12:54.83
Butchart Andrew,GBR,M,24,141,69,,,,13:08.61
Bouqantar Soufiyan,MAR,M,22,119,68,,,,13:19.59
Koech Isiah Kiplangat,KEN,M,22,143,68,,,27:32,12:53.29
Abadia Antonio,ESP,M,26,143,67,,,28:02,13:12.68
Chitsala Kefasi,MAW,M,22,139,67,,,,14:24.4
Gelant Elroy,RSA,M,29,134,69,,,27:41.30,13:04.88
Kipyeko Phillip,UGA,M,21,,,,,28:18,13:10.69
Aouad Zouhair,BRN,M,27,152,69,,,,13:14.16
Orth Florian,GER,M,27,139,71,,,,13:23.67
Torrence David,PER,M,30,143,75,,,,13:16.53
Osako Suguru,JPN,M,25,115,67,,,27:38.31,13:28.00
San Naing San Naing,MYA,M,25,126,67,,,,15:13.83
Bruchet Lucas,CAN,M,25,152,72,,,,13:24.10
Fifa Illias,ESP,M,27,150,68,,,,13:05.61
Farah Mohamed,GBR,M,33,128,69,,,,
Gebrhiwet Hagos,ETH,M,22,123,67,,,,12:47.53
Lagat Bernard,USA,M,41,128,68,,,,
Abdi Bashir,BEL,M,27,123,69,,,27:36.40,13:06.10
Nkhasi Namakoe,LES,M,23,,,,,28:06.33,13:21.68
Cheptegei Joshua Kiprui,UGA,M,19,,,,,27:46,13:00.60
Ibrahimov Hayle,AZE,M,26,128,67,,,30:06.64,13:09.17
Rimal Hari Kumar,NEP,M,29,130,65,,,,14:32.18
Irabaruta Olivier,BDI,M,18,137,67,,,27:55.92,13:17.98
Mead Hassan,USA,M,25,143,74,,,27:33.04,13:43.13
Murayama Kota,JPN,M,23,119,69,,,27:29.69,13:19.62
Essalhi Younes,MAR,M,23,141,71,,,,
Mcentee Sam,AUS,M,24,148,75,,,,13:20.72
Ringer Richard,GER,M,27,137,72,,,28:28.96,13:10.94
Campbell Kemoy,JAM,M,25,126,66,,,,13:49.55
Ndiku Caleb Mwangangi,KEN,M,23,143,66,,,28:28.4,12:59.17
Rop Albert Kibichii,BRN,M,24,139,70,,,,13:10.96
Kifle Aron,ERI,M,18,,,,,27:26.20,13:13.39
Alotaibi Mukhlid,KSA,M,40,132,64,,,27:31.61,12:58.58
Muneria Charles Yosei,KEN,M,20,121,66,,,27:54.6,13:23.79
Siosi Rosefelo,SOL,M,19,,,,,34:08.16,15:47.76
Mohamed Mohamed Daud,SOM,M,20,,,,,,14:57.84
Kiplimo Jacob,UGA,M,15,,,,,27:26.68,13:19.54
Twell Stephanie,GBR,M,27,126,66,,,32:26,14:54.08
Onishi Misaki,JPN,M,31,101,65,,,,15:16.82
Mccolgan Eilish,GBR,M,25,117,69,,,,15:09.94
Wenth Jennifer,AUT,M,25,104,65,,,,15:43.88
Chesang Stella,UGA,M,19,,,,,32:10,15:10.30
D'Agostino Abbey,USA,M,24,108,63,,,33:10.38,15:24.44
Wellings Eloise,AUS,M,33,115,68,,,32:23,14:54.11
Suzuki Ayuko,JPN,M,24,86,61,,,,
Seccafien Andrea,CAN,M,25,101,60,,,,15:17.81
Hamblin Nikki,NZL,M,28,115,65,,,,15:18.02
Teferi Senbere,ETH,M,21,,,,,30:40.59,14:35.09
Cheruiyot Vivian Jepkemoi,KEN,M,32,88,61,,,30:47,14:20.87
Ali Taher Bibiro,CHA,M,28,97,63,,,,17:32.71
Lacaze Genevieve,AUS,M,27,117,65,,,,15:10.35
Ayana Almaz,ETH,M,24,104,65,,,32:19,14:12.59
Grovdal Karoline Bjerkeli,NOR,M,26,,,,,31:29,14:57.53
Belete Mimi,BRN,M,28,123,67,,,,14:54.71
Uehara Miyuki,JPN,M,20,86,61,,,31:38.80,15:21.40
Can Yasemin,TUR,M,19,108,65,,,,
