Last,First,Country,Gender,Age,Weight (lbs),Height (in),Marathon,Half Marathon,10K,5K
Abadia,Antonio,ESP,M,26,143,67,,,28:02,13:12.68
Abdi,Bashir,BEL,M,27,123,69,,,27:36.40,13:06.10
Abdulkadir,Dalila,BRN,M,18,101,61,,,,15:10.79
Abera,Tesfaye,ETH,M,24,150,76,,,,
Abraham,Tadesse,SUI,M,34,134,70,2:06:40,,29:05.62,
Abu,DRAIS Methkal,JOR,M,32,148,66,2:17:24,,,
Adams,Liam,AUS,M,29,141,70,2:13:49,,28:11.76,13:31.21
Ahmed,Mohammed,CAN,M,25,123,72,,,,
Al-Amri,Tariq Ahmed,KSA,M,25,108,65,,,,13:25.00
Ali,TAHER Bibiro,CHA,M,28,97,63,,,,17:32.71
Alice,Beatrice Kamuchanga,COD,M,18,,,,,,19:29.47
Almachi,Miguel Angel,ECU,M,31,121,65,,,,
Alotaibi,Mukhlid,KSA,M,40,132,64,,,27:31.61,12:58.58
Amlosom,Nguse,ERI,M,29,123,71,,,27:28.10,13:30.22
Andrews,Jessica,GBR,M,23,115,66,,,,
Aouad,Zouhair,BRN,M,27,152,69,,,,13:14.16
April,Lusapho,RSA,M,34,110,68,2:08:32,,30:25.13,
Aravena,Victor,CHI,M,26,121,65,,,,
Arikan,Polat Kemboi,TUR,M,25,130,69,,,27:35.50,13:05.98
Ayala,Derlys,PAR,M,26,165,70,2:17:32,,,
Ayana,Almaz,ETH,M,24,104,65,,,29:17.45,14:12.59
Balew,Birhanu,BRN,M,20,,,,,,13:09.26
Barkowet,Evans Kiplagat,AZE,M,28,132,67,2:09:22,,28:08,
Bat-Ochir,Ser-Od,MGL,M,34,134,67,2:08:50,,29:43.79,
Bekele,Alemu,BRN,M,26,130,64,2:13:28,,27:56.20,13:18.00
Belete,Mimi,BRN,M,28,123,67,,,,14:54.71
Berhanu,Lemi,ETH,M,21,117,66,2:04:33,,28:06,
Biwott,Stanley Kipleting,KEN,M,30,134,60,2:03:51,,28:00,
Bouqantar,Soufiyan,MAR,M,22,119,68,,,,13:19.59
Bruchet,Lucas,CAN,M,25,152,72,,,,13:24.10
Bruno,Federico,ARG,M,23,146,73,2:15:40,,,
Burka,Gelete,ETH,M,30,95,63,2:26:03,,30:26.66,14:31.20
Butchart,Andrew,GBR,M,24,141,69,,,,13:08.61
Caelen,Florent,BEL,M,27,119,69,2:12:51,,,
Campbell,Kemoy,JAM,M,25,126,66,,,,13:20.39
Can,Yasemin,TUR,M,19,108,65,,,,
Carton,Louise,BEL,M,22,132,71,,,,15:23.82
Carver,David,MRI,M,28,150,72,2:18:20,,,
Castelblanco,Jorge,PAN,M,28,128,67,2:15:57,,,
Castillejo,Carles,ESP,M,38,134,65,2:10:09,,27:39.79,13:11.50
Chani,Hassan,BRN,M,28,132,67,,,27:56.48,13:28.67
Chekwel,Juliet,UGA,M,26,,,,,31:37.99,15:20.15
Chelimo,Paul Kipkemoi,USA,M,25,126,71,,,,13:03.90
Cheptegei,Joshua Kiprui,UGA,M,19,,,,,27:10.06,13:00.60
Cheroben,Abraham Naibei,BRN,M,23,132,69,,,27:31.86,
Cherono,Mercy,KEN,M,25,112,,,,,14:33.95
Cheruiyot,Vivian Jepkemoi,KEN,M,32,88,61,,,29:32.53,14:20.87
Chesang,Stella,UGA,M,19,,,,,32:10,15:10.30
Chipangama,Jordan,ZAM,M,27,117,68,2:11:35,,,
Chitsala,Kefasi,MAW,M,22,139,67,,,,14:24.4
Clohissey,Mick,IRL,M,30,141,71,2:15:11,,,
Colorado,Diego,COL,M,42,137,67,,,,
Conley,Kim,USA,M,30,108,63,,,31:48.71,15:08.61
Coolsaet,Reid,CAN,M,37,137,68,2:10:28,,27:56.92,13:21.53
Cooray,Anuradha Indrajith,SRI,M,38,128,69,2:13:47,,,
Csere,Gaspar,HUN,M,25,121,67,,,,
Cuestas,Nicolas,URU,M,29,139,71,,,,
Cuestas,Martin Esteban,URU,M,29,137,72,,,,
D'Agostino,Abbey,USA,M,24,108,63,,,33:10.38,15:03.85
Dambadarjaa,Gantulga,MGL,M,27,128,67,2:18:16,,32:40.87,15:39.71
Demelash,Yigrem,ETH,M,22,106,66,,,26:51.11,13:03.30
Dibaba,Tirunesh,ETH,M,31,110,65,2:20:35,,29:42.56,14:11.15
Dong,Guojian,CHN,M,29,121,67,2:11:42,,28:17.60,13:54.30
Dopolskas,Valdas,LTU,M,24,152,72,2:16:35,,,
Edris,Muktar,ETH,M,22,132,67,,,27:17.18,12:54.83
El,HISSOUF Abdelmajid,MAR,M,23,123,67,2:10:35,,,
Elabbassi,El Hassan,BRN,M,32,134,67,,,27:25.02,13:19.36
Espana,Jesus,ESP,M,38,130,66,,,,
Essalhi,Younes,MAR,M,23,141,71,,,,
Estifanos,Tewelde,ERI,M,34,,,2:09:16,,,
Estrada,Daniel,CHI,M,26,134,68,,,,
Farah,Mohamed,GBR,M,33,128,69,,,,
Farrell,Tom,GBR,M,25,139,70,,,,13:10.48
Fifa,Illias,ESP,M,27,150,68,,,,13:05.61
Firisua,Sharon,SOL,M,22,,,,,,18:01.62
Flores,Brenda,MEX,M,24,110,64,,,31:45.16,15:30.87
Flugel,Julian,GER,M,30,146,72,2:13:57,,,
Fosti,Roman,EST,M,33,152,71,2:17:54,,,
Gala,Mumin,DJI,M,29,154,73,2:13:04,,28:23.46,13:17.77
Garcia,Jose Amado,GUA,M,38,130,70,,,,
Gebre,Trihas,ESP,M,26,108,64,2:38:47,,32:03.39,15:27.94
Gebremeskel,Dejen,ETH,M,26,128,71,,,,
Gebrhiwet,Hagos,ETH,M,22,123,67,,,,12:47.53
Gelant,Elroy,RSA,M,29,134,69,,,27:41.30,13:04.88
